SECTOR,PM10 ,PM2.5 ,SOX ,CO ,NOX ,COV ,NH3 
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",807.5698459,612.1462035,5.941436605,657.2033623,436.4754003,4914.516732,92.80729084
Alimentos y bebidas,97460.64045,55241.28398,41798.9121,3726.752336,16669.03348,2596.995479,230.0483841
Almacenamiento de combustibles,2.420298871,1.731488458,48.5083441,0.98419,7.272728,0.68495828,0.151938869
Asbesto,0.719803502,0.630567661,0.048619924,5.51651731,10.03022321,0.363903807,0.246735054
Automotriz,3133.100832,2643.302466,579.5291782,814.7221867,1153.238994,39457.84832,32.21261209
Celulosa y papel,905.0577075,652.2307464,12913.09581,1781.550631,3986.579069,3894.794003,75.36293277
Cemento y cal,7158.244617,4671.639273,36278.53938,15495.91096,55533.46289,452.5077297,56.66547642
"Cuero, piel y materiales sucedáneos",16.20691572,15.77702161,2.615355672,79.37985764,469.315083,26.77810317,8.512550937
Derivados del petróleo y carbón,196.8921957,121.3979655,410.4186589,390.0313999,968.6194057,3200.542364,17.30680588
Extracción/beneficio minerales no metálicos,4212.339813,2092.625016,1948.171956,182.0758489,702.7551535,21.90203207,8.545195809
Generación de energía eléctrica,67244.50452,57343.03395,1045356.413,65028.49329,351276.1512,9315.304551,3904.485471
Impresión,50.80836232,43.47938633,124.5786808,122.6871578,670.389125,5419.799111,3.345038418
Industria textil,390.3658608,282.1332432,1605.419703,1021.157601,1025.600026,1227.756025,21.06552127
Madera,293.8155189,254.7944171,41.83539055,1063.848816,192.3376091,4385.28318,37.44745189
Manejo de desechos y remediación,15.29555924,10.56111786,101.3798683,59.98700106,59.94715869,97.03632659,1.478254192
Metálico,615.20248,484.2507982,28.69449221,1740.495463,1791.34307,7339.625964,29.85435373
Metalúrgica (incluye la siderúrgica),30029.67178,25374.99236,26540.66634,84588.93961,89299.25927,5847.508095,673.3356926
Mezclas químicas,112.8327359,34.1056978,219.3832976,230.511308,378.6342837,1643.121017,1.647628842
Minerales no metálicos,1498.44944,984.1116426,921.8563037,1120.050035,2169.793725,1774.473946,29.96533627
"Muebles, colchones y persianas",10.60644659,8.909817754,0.347447015,71.3745217,128.6019061,501.7378206,0.07723224
Otras industrias,16.05479488,12.09058907,57.26992529,748.9636856,80.57133687,779.9103178,2.219431969
Papel y cartón,145.9836406,106.0311459,1381.551858,199.0314774,360.2306987,2268.388329,7.848523257
Petróleo y petroquímica,14604.24993,10870.53884,412091.923,170821.2795,140141.5024,28759.78003,655.2814
Pinturas y tintas,616.4192762,467.8628292,15.99649189,105.1662934,263.011378,7086.280872,4.684225052
Plástico y hule,451.2926985,293.0073084,3465.757242,385.0508253,4043.145641,9536.143146,9.436582836
Química,2894.103327,2426.665284,18233.25053,5108.843903,9826.62589,31792.91525,141.5608151
Tratamiento de residuos peligrosos,6.084311011,5.356314917,33.07595309,140.5941225,247.8067219,39.5556282,0.284103913
Vidrio,1528.632623,1414.608638,2083.009159,1891.456039,11474.87374,1069.291968,61.35541321
Notas:,,,,,,,
Cantidades en toneladas.,,,,,,,
"* Si se muestran ""blancos"" en la posicion de cifras, representan valores no reportados o nulos.",,,,,,,
