mean,CODIGO,ESTADO,system:index
1.87744238579002E-4,MX02,Baja California,00000000000000000000
5.798705154817261E-5,MX03,Baja California Sur,00000000000000000001
3.589784262787685E-5,MX18,Nayarit,00000000000000000002
5.0768056398273176E-5,MX14,Jalisco,00000000000000000003
4.070891451018524E-5,MX01,Aguascalientes,00000000000000000004
6.957178219803145E-5,MX11,Guanajuato,00000000000000000005
1.101139604790123E-4,MX22,Querétaro,00000000000000000006
1.6134415765799463E-4,MX13,Hidalgo,00000000000000000007
8.678889442461484E-5,MX16,Michoacán,00000000000000000008
2.1518986094606627E-4,MX15,México,00000000000000000009
3.435204698485723E-4,MX09,Distrito Federal,0000000000000000000a
7.467812168349877E-5,MX08,Colima,0000000000000000000b
4.660847499282636E-4,MX17,Morelos,0000000000000000000c
5.456509463448941E-7,MX31,Yucatán,0000000000000000000d
8.806450778008557E-6,MX04,Campeche,0000000000000000000e
1.8517230611922653E-4,MX21,Puebla,0000000000000000000f
6.712864858106261E-7,MX23,Quintana Roo,00000000000000000010
2.2947728124556992E-4,MX29,Tlaxcala,00000000000000000011
9.624934130456922E-5,MX12,Guerrero,00000000000000000012
3.8974651824929396E-5,MX20,Oaxaca,00000000000000000013
9.92714850608838E-5,MX27,Tabasco,00000000000000000014
2.7125413629135495E-5,MX05,Chiapas,00000000000000000015
1.0697576605993649E-4,MX26,Sonora,00000000000000000016
7.589590285462805E-5,MX06,Chihuahua,00000000000000000017
8.985251197819568E-5,MX07,Coahuila,00000000000000000018
7.351292364014075E-5,MX25,Sinaloa,00000000000000000019
4.3133109489804107E-5,MX10,Durango,0000000000000000001a
3.121321815925513E-5,MX32,Zacatecas,0000000000000000001b
5.9294741854122646E-5,MX24,San Luis Potosí,0000000000000000001c
7.93264443337925E-5,MX19,Nuevo León,0000000000000000001d
4.9367766727149114E-5,MX28,Tamaulipas,0000000000000000001e
7.875614627302028E-5,MX30,Veracruz,0000000000000000001f
